날짜,종가,오픈,거래량,변동 %,실업자,실업률(%),청년실업자,청년실업률(%),빈도(부정),빈도(긍정),코스피지수변화,순매수비율
2017-05-23,"3,206,000","3,104,000",21.58K,3.29%,99.5,3.6,40.8,9.2,16.90149,14.58574,0.0033,0.008202254
2017-05-24,"4,175,000","3,206,000",34.68K,30.22%,99.5,3.6,40.8,9.2,16.92568,15.11493,0.0024,0.008202254
2017-05-25,"4,199,000","4,175,000",35.91K,0.57%,99.5,3.6,40.8,9.2,16.57495,16.02447,0.011,0.008202254
2017-05-26,"3,227,000","4,199,000",36.65K,-23.15%,99.5,3.6,40.8,9.2,14.2166,12.58475,0.0053,0.008202254
2017-05-27,"3,152,000","3,227,000",33.75K,-2.32%,99.5,3.6,40.8,9.2,10.08647,8.97965,0.0,0.008202254
2017-05-28,"3,149,000","3,152,000",22.33K,-0.10%,99.5,3.6,40.8,9.2,12.45691,10.0711,0.0,0.008202254
2017-05-29,"3,206,000","3,149,000",21.06K,1.81%,99.5,3.6,40.8,9.2,16.2726,14.23846,-0.001,0.008202254
2017-05-30,"3,144,000","3,206,000",19.77K,-1.93%,99.5,3.6,40.8,9.2,16.74427,14.13924,-0.0039,0.008202254
2017-05-31,"3,035,000","3,144,000",23.35K,-3.47%,99.5,3.6,40.8,9.2,18.14718,14.50305,0.0016,0.008202254
2017-06-01,"3,142,000","3,035,000",14.49K,3.53%,106.1,3.8,46.3,10.4,15.52276,12.33669,-0.0012,-0.001767697
2017-06-02,"3,169,000","3,142,000",20.77K,0.86%,106.1,3.8,46.3,10.4,14.1138,11.57598,0.0116,-0.001767697
2017-06-03,"3,110,000","3,169,000",17.75K,-1.86%,106.1,3.8,46.3,10.4,9.7176,7.65668,0.0,-0.001767697
2017-06-04,"3,061,000","3,110,000",12.15K,-1.58%,106.1,3.8,46.3,10.4,10.55814,9.19464,0.0,-0.001767697
2017-06-05,"3,188,000","3,061,000",18.12K,4.15%,106.1,3.8,46.3,10.4,13.96867,12.03902,-0.0013,-0.001767697
2017-06-06,"3,390,000","3,188,000",32.90K,6.34%,106.1,3.8,46.3,10.4,13.14627,11.9398,0.0,-0.001767697
2017-06-07,"3,246,000","3,390,000",18.75K,-4.25%,106.1,3.8,46.3,10.4,16.20608,14.65189,-0.0036,-0.001767697
2017-06-08,"3,273,000","3,246,000",22.07K,0.83%,106.1,3.8,46.3,10.4,16.07909,14.75111,0.0015,-0.001767697
2017-06-09,"3,265,000","3,273,000",16.94K,-0.24%,106.1,3.8,46.3,10.4,15.16599,12.48553,0.0077,-0.001767697
2017-06-10,"3,280,000","3,265,000",18.58K,0.46%,106.1,3.8,46.3,10.4,11.03585,7.92128,0.0,-0.001767697
2017-06-11,"3,327,000","3,280,000",19.14K,1.43%,106.1,3.8,46.3,10.4,12.74717,10.45146,0.0,-0.001767697
2017-06-12,"3,208,000","3,327,000",24.73K,-3.58%,106.1,3.8,46.3,10.4,16.78659,15.47874,-0.01,-0.001767697
2017-06-13,"3,193,000","3,208,000",20.94K,-0.47%,106.1,3.8,46.3,10.4,16.87125,16.18984,0.0071,-0.001767697
2017-06-14,"3,027,000","3,193,000",24.36K,-5.20%,106.1,3.8,46.3,10.4,16.83497,15.5945,-0.0009,-0.001767697
2017-06-15,"3,061,000","3,027,000",31.18K,1.12%,106.1,3.8,46.3,10.4,16.82892,14.94956,-0.0046,-0.001767697
2017-06-16,"3,052,000","3,061,000",14.65K,-0.29%,106.1,3.8,46.3,10.4,14.73665,15.13147,0.0001,-0.001767697
2017-06-17,"3,223,000","3,052,000",18.09K,5.60%,106.1,3.8,46.3,10.4,9.86877,8.10319,0.0,-0.001767697
2017-06-18,"3,163,000","3,223,000",12.20K,-1.86%,106.1,3.8,46.3,10.4,11.80383,9.72382,0.0,-0.001767697
2017-06-19,"3,234,000","3,163,000",17.91K,2.24%,106.1,3.8,46.3,10.4,16.63542,15.08185,0.0038,-0.001767697
2017-06-20,"3,425,000","3,234,000",27.07K,5.91%,106.1,3.8,46.3,10.4,15.84326,13.31238,-0.0007,-0.001767697
2017-06-21,"3,429,000","3,425,000",34.02K,0.12%,106.1,3.8,46.3,10.4,14.84549,13.97387,-0.0049,-0.001767697
2017-06-22,"3,453,000","3,429,000",21.24K,0.70%,106.1,3.8,46.3,10.4,14.1138,13.9904,0.0054,-0.001767697
2017-06-23,"3,451,000","3,453,000",18.63K,-0.06%,106.1,3.8,46.3,10.4,13.54538,10.56722,0.0035,-0.001767697
2017-06-24,"3,365,000","3,451,000",14.78K,-2.49%,106.1,3.8,46.3,10.4,9.43339,7.21018,0.0,-0.001767697
2017-06-25,"3,387,000","3,365,000",11.07K,0.65%,106.1,3.8,46.3,10.4,10.09251,8.13626,0.0,-0.001767697
2017-06-26,"3,285,000","3,387,000",21.99K,-3.01%,106.1,3.8,46.3,10.4,14.02914,12.3863,0.0042,-0.001767697
2017-06-27,"3,155,000","3,285,000",26.13K,-3.96%,106.1,3.8,46.3,10.4,14.89387,11.92326,0.0014,-0.001767697
2017-06-28,"3,134,000","3,155,000",20.72K,-0.67%,106.1,3.8,46.3,10.4,14.62175,13.4116,-0.0039,-0.001767697
2017-06-29,"3,062,000","3,134,000",14.79K,-2.30%,106.1,3.8,46.3,10.4,14.50686,12.63436,0.0055,-0.001767697
2017-06-30,"3,079,000","3,062,000",11.88K,0.56%,106.1,3.8,46.3,10.4,12.87416,9.6246,-0.0016,-0.001767697
2017-07-01,"3,060,000","3,079,000",9.47K,-0.62%,95.8,3.4,41.1,9.3,8.65936,7.32594,0.0,-0.00276993
2017-07-02,"3,009,000","3,060,000",11.15K,-1.67%,95.8,3.4,41.1,9.3,9.27616,7.90474,0.0,-0.00276993
2017-07-03,"3,083,000","3,009,000",14.52K,2.46%,95.8,3.4,41.1,9.3,14.12589,12.41938,0.0011,-0.00276993
2017-07-04,"3,142,000","3,083,000",12.56K,1.91%,95.8,3.4,41.1,9.3,14.34964,11.90673,-0.0058,-0.00276993
2017-07-05,"3,113,000","3,142,000",11.21K,-0.92%,95.8,3.4,41.1,9.3,13.96262,13.19662,0.0033,-0.00276993
2017-07-06,"3,117,000","3,113,000",7.66K,0.13%,95.8,3.4,41.1,9.3,13.76307,11.77443,-0.0002,-0.00276993
2017-07-07,"3,076,000","3,117,000",10.48K,-1.32%,95.8,3.4,41.1,9.3,12.3783,13.14701,-0.0033,-0.00276993
2017-07-08,"3,085,000","3,076,000",8.70K,0.29%,95.8,3.4,41.1,9.3,8.50819,6.23449,0.0,-0.00276993
2017-07-09,"3,019,000","3,085,000",5.36K,-2.14%,95.8,3.4,41.1,9.3,9.2036,6.8629,0.0,-0.00276993
2017-07-10,"2,959,000","3,019,000",11.00K,-1.99%,95.8,3.4,41.1,9.3,13.91425,11.41061,0.0009,-0.00276993
2017-07-11,"2,859,000","2,959,000",16.45K,-3.38%,95.8,3.4,41.1,9.3,16.35121,12.91549,0.0058,-0.00276993
2017-07-12,"2,893,000","2,859,000",13.89K,1.19%,95.8,3.4,41.1,9.3,14.2166,12.71704,-0.0018,-0.00276993
2017-07-13,"2,822,000","2,893,000",11.30K,-2.45%,95.8,3.4,41.1,9.3,13.9082,12.36977,0.0074,-0.00276993
2017-07-14,"2,632,000","2,822,000",12.41K,-6.73%,95.8,3.4,41.1,9.3,12.1727,11.01372,0.0021,-0.00276993
2017-07-15,"2,214,000","2,632,000",19.22K,-15.88%,95.8,3.4,41.1,9.3,8.42353,6.4164,0.0,-0.00276993
2017-07-16,"2,213,000","2,214,000",22.05K,-0.05%,95.8,3.4,41.1,9.3,13.04347,7.39209,0.0,-0.00276993
2017-07-17,"2,643,000","2,213,000",23.88K,19.43%,95.8,3.4,41.1,9.3,12.97091,11.74135,0.0043,-0.00276993
